replaceKuSymbolsIPA2,,,,,,,,
"c(""g^nd"""," ""id"""," ""skwInz"""," ""sl9st"""," ""pr3f"""," ""r9fT"""," ""wald"""," ""freik"""," ""f{n_"")"
"c(""splub"""," ""snEn_d"""," ""br3lt"""," ""skr9nT"""," ""zIf"""," ""n5vz"""," ""yamz"""," ""glein"""," ""dw{s"")"
"c(""_Enz"""," ""kl5ft"""," ""kwumd"""," ""kwust"""," ""kr2p"""," ""skr5dz"""," ""frep"""," ""peinT"""," ""g{lv"")"
"c(""SrIsp"""," ""Sr^n_d"""," ""g9mT"""," ""k^nd"""," ""gl5v"""," ""s9ft"""," ""drek"""," ""seifT"""," ""s{Jt"")"
"c(""trQlst"""," ""gwun"""," ""skwImpt"""," ""kw6ndz"""," ""lEl_"""," ""skr9st"""," ""skwi"""," ""freiS"""," ""w{lT"")"
"c(""s1g"""," ""k4nT"""," ""w2lt"""," ""TEGk"""," ""nEnzd"""," ""spr2ks"""," ""friz"""," ""weibz"""," ""w{Jt"")"
"c(""sl6lt"""," ""d9fT"""," ""grIln"""," ""brQlbd"""," ""skif"""," ""y2ld"""," ""gwaS"""," ""seilt"""," ""r^pt"")"
"c(""s2f"""," ""tw1Jt"""," ""skr1nz"""," ""gr9fs"""," ""k{lm"""," ""sprIkt"""," ""klas"""," ""dreit"""," ""m^GT"")"
"c(""sprIlpt"""," ""s1bd"""," ""nIfT"""," ""nibz"""," ""r5nts"""," ""Tw6z"""," ""Teln"""," ""beiSt"""," ""z^vz"")"
"c(""gl{Gkst"""," ""skuT"""," ""kwQkt"""," ""h1nT"""," ""lInTs"""," ""kl3Jt"""," ""feGk"""," ""seilt"""," ""p^lf"")"
"c(""sQsp"""," ""sunt"""," ""JElv"""," ""ti_d"""," ""Tr1gz"""," ""skwQfs"""," ""friz"""," ""deips"""," ""f^fs"")"
"c(""sm^kst"""," ""sw9nz"""," ""swQkt"""," ""kr9_d"""," ""skunTs"""," ""fr1st"""," ""Sriz"""," ""seibd"""," ""n^kt"")"
"c(""klukt"""," ""glunz"""," ""gw9ks"""," ""kl3pT"""," ""spl1nz"""," ""smuld"""," ""panz"""," ""bleit"""," ""TEzd"")"
"c(""mIpt"""," ""spr9ks"""," ""brQks"""," ""skw{bz"""," ""_1nT"""," ""gr3_"""," ""maSt"""," ""heips"""," ""JEns"")"
"c(""krEmpt"""," ""skr{lkt"""," ""n3"""," ""gumd"""," ""blIskt"""," ""Tut"""," ""k^mp"""," ""yeimT"""," ""dEpt"")"
"c(""frumTs"""," ""kEsps"""," ""nIlm"""," ""sn5gd"""," ""fl6nT"""," ""tw4nTs"""," ""g^kt"""," ""nein_"""," ""swEs"")"
"c(""sn1d"""," ""funt"""," ""JImTs"""," ""skInT"""," ""bl^ns"""," ""kw2"""," ""Trid"""," ""greif"""," ""TEGk"")"
"c(""s9m"""," ""skr2m"""," ""gw3nT"""," ""sk9_"""," ""f3lts"""," ""fl{lbz"""," ""griz"""," ""Tweit"""," ""wElf"")"
"c(""flImpst"""," ""J6nst"""," ""_#s"""," ""drund"""," ""3f"""," ""gukt"""," ""fQnJ"""," ""kweid"""," ""drIf"")"
"c(""tw9dz"""," ""wif"""," ""skQlJ"""," ""tuk"""," ""_IpT"""," ""klupT"""," ""yaGk"""," ""fleip"""," ""Ikst"")"
"c(""kw{n_d"""," ""stumd"""," ""sk9vd"""," ""kw9g"""," ""kIns"""," ""plimT"""," ""r^pt"""," ""tweiz"""," ""nIfs"")"
"c(""sprukt"""," ""br9m"""," ""kInz"""," ""v9fTs"""," ""_3g"""," ""k9g"""," ""sn^m"""," ""peibz"""," ""klIz"")"
"c(""dwik"""," ""wimT"""," ""kw5ks"""," ""fr3g"""," ""skrIn_d"""," ""r9nJ"""," ""drid"""," ""freik"""," ""TIkt"")"
"c(""gr3ks"""," ""str3t"""," ""tr5st"""," ""sl1nT"""," ""gw1vd"""," ""fr^bz"""," ""friz"""," ""dreit"""," ""twIv"")"
"c(""d5ks"""," ""m5gz"""," ""frQGks"""," ""rImfs"""," ""y^lk"""," ""y^lk"""," ""snQ_"""," ""teiSt"""," ""griz"")"
"c(""glil"""," ""b3fTs"""," ""Sr9m"""," ""gwQld"""," ""l1_d"""," ""sprild"""," ""nafT"""," ""brei_"""," ""prid"")"
"c(""wEp"""," ""bElfs"""," ""tr3pTs"""," ""w3f"""," ""p3fs"""," ""spl5md"""," ""tr^m"""," ""teift"""," ""twiz"")"
"c(""Trugz"""," ""sm9fs"""," ""sk^lm"""," ""stuS"""," ""fr9bd"""," ""fl3J"""," ""k^lJ"""," ""seipt"""," ""briz"")"
"c(""gl9nts"""," ""sk1k"""," ""fr9g"""," ""fl9kt"""," ""s9_"""," ""spETs"""," ""fIps"""," ""nein_"""," ""Trid"")"
"c(""skufT"""," ""y1mT"""," ""gr9lt"""," ""gl1bd"""," ""skw9g"""," ""skw2z"""," ""SIdz"""," ""sneiz"""," ""fliz"")"
"c(""_^kst"""," ""gw9dz"""," ""slIs"""," ""sw3kt"""," ""p1md"""," ""Suks"""," ""amps"""," ""kweit"""," ""skuk"")"
"c(""pr1n"""," ""dw9mz"""," ""suk"""," ""sk9D"""," ""igz"""," ""pl6st"""," ""bran"""," ""neibz"""," ""twuf"")"
"c(""klElf"""," ""S5vz"""," ""sk{m"""," ""snQln"""," ""r#fT"""," ""nimd"""," ""pr^k"""," ""Treit"""," ""Suzd"")"
"c(""klim"""," ""J2nt"""," ""sw{pst"""," ""skrIT"""," ""skrubz"""," ""skw3z"""," ""r^mz"""," ""dreim"""," ""Subz"")"
"c(""g9nd"""," ""grEGk"""," ""smild"""," ""drIlt"""," ""TrQkst"""," ""glInJ"""," ""pIgd"""," ""dweiv"""," ""fluv"")"
"c(""bis"""," ""spl1b"""," ""b1lt"""," ""kru_d"""," ""sk1fTs"""," ""gr9nJ"""," ""mIpt"""," ""smeiz"""," ""Tust"")"
"c(""sk3m"""," ""SIJ"""," ""skrib"""," ""frIns"""," ""skr2t"""," ""fr9ndz"""," ""n@Ts"""," ""pImf"""," ""SQbz"")"
"c(""skEmp"""," ""kruks"""," ""dw9k"""," ""skw3Tt"""," ""TIps"""," ""fr^gd"""," ""sp@b"""," ""nIdz"""," ""zQft"")"
"c(""kw3sts"""," ""skr2p"""," ""Tr2n"""," ""p^nst"""," ""skwist"""," ""sk1m"""," ""lEl_"""," ""TIln"""," ""zQln"")"
"c(""skrITs"""," ""yQnt"""," ""skr9fT"""," ""flEs"""," ""r9kt"""," ""fr{lvz"""," ""gend"""," ""tITt"""," ""nQln"")"
"c(""str^v"""," ""Tr1nz"""," ""Tw9kt"""," ""k^dz"""," ""s3md"""," ""smIlnd"""," ""prid"""," ""TIlk"""," ""pQGk"")"
"c(""pl^fs"""," ""mEnz"""," ""z3nd"""," ""skw7d"""," ""y9mz"""," ""T9lt"""," ""Sriz"""," ""zIfs"""," ""gQpt"")"
"c(""d9ld"""," ""d9st"""," ""str9_d"""," ""slugd"""," ""skwQmf"""," ""bl3lt"""," ""gwaS"""," ""stIS"""," ""g{zd"")"
"c(""st9zd"""," ""druS"""," ""_#_d"""," ""gl9lt"""," ""rups"""," ""luks"""," ""ranT"""," ""glIf"""," ""kw{g"")"
"c(""hufT"""," ""kl^mft"""," ""h4nT"""," ""strQb"""," ""kl9fTs"""," ""gwEnst"""," ""skes"""," ""gwIg"""," ""T{ts"")"
"c(""st3st"""," ""gwid"""," ""klifT"""," ""frudz"""," ""gr2ks"""," ""bIspt"""," ""seGk"""," ""Ilbd"""," ""z{lf"")"
"c(""sl5ks"""," ""drunz"""," ""kl1Ts"""," ""kwQgz"""," ""y{nT"""," ""kr5ps"""," ""friz"""," ""SIlm"""," ""z{ls"")"
"c(""hIlft"""," ""skIksts"""," ""Sr5nd"""," ""gl^gz"""," ""kw3fTs"""," ""Tw2b"""," ""skwi"""," ""rIlk"""," ""J{vz"")"
"c(""fl1nz"""," ""spluv"""," ""kr#mT"""," ""d3vz"""," ""pl6D"""," ""snEvz"""," ""Srad"""," ""gIps"""," ""f^lv"")"
"c(""g^lkt"""," ""sk9t"""," ""gyub"""," ""TwQkst"""," ""fr2l"""," ""sk9ks"""," ""vadz"""," ""SIGT"""," ""fl^l"")"
"c(""n3z"""," ""nQlT"""," ""Tr3s"""," ""Tw9fTs"""," ""sk6S"""," ""skunTs"""," ""bens"""," ""nImT"""," ""w^ks"")"
"c(""glImpt"""," ""skilz"""," ""m9ks"""," ""sl4lz"""," ""st9vz"""," ""skw7d"""," ""frep"""," ""zIn_"""," ""v^mT"")"
