V1,V2,V3,V4,V5,V6,V7,V8,V9,probabilities,,,multiplied probabilities
fukt,spl{pTs,skrInd,fupt,pl9d,pr{ks,Tand,rVdz,gw{n,0.0121,0.0123,0.0605,9.00422E-06
jask,prVn,fr{n,T3p,r5ft,skw3Tt,SrIk,_uvd,frindz,,,,0
br5mz,snInz,l{ft,bli_,skwIlft,T9ps,deild,nVvz,gl{g,0.0012402,0.0123,0.0605,9.22895E-07
dreit,SVpT,d{lz,gr9pTs,s5_,skrINks,frInd,n9nz,kw#kt,,,,0
skwEpt,skr5z,sl3_d,sl3vz,r#mT,dZ9pTs,Sriz,dwVd,fl{N,0.0034,0.0123,0.0605,2.53011E-06
friz,gVNT,r{fT,kw9p,twilz,bEns,s9gz,wQpTs,r9ks,,,,0
prIfts,dr9d,sVnT,T{ts,frVfs,kr{lps,razd,vVpT,glEl,0.0121,0.0123,0.0039,5.80437E-07
fakt,bVlT,TEbd,zInz,skr9st,wimd,n9ft,skw6n_,z1st,,,,0
r9n,gl9ldz,kw{l,gl6st,fr3fs,sn{ts,peibz,SVlt,sElk,0.00012402,0.0123,0.0039,5.94924E-09
Sreiz,jVlv,gElk,wVt,gr5kst,frIlv,tw7z,b2T,skr5sts,,,,0
ghrosc,ghleufth,tuiffs,squoarste,thwourmbth,gwoarlds,griz,kVln,TrEk,0.0034,0.0123,0.0039,1.63098E-07
fliz,TVmT,fElp,spump,sapths,keeke,rontch,thope,kwinched,,,,0
ghwooved,ghwjmpced,gwaiste,bljque,shrulved,frouce,fran,fVnz,dweik,0.0121,0.0123,0.00012402,1.84579E-08
laNk,dVps,leigz,splond,papth,plerched,cwangs,spighmbth,saunth,,,,0
guibs,vighnths,perfth,thooste,thwjsp,skruld,fENk,vVnt,weilt,0.0039,0.0123,0.00012402,5.94924E-09
fels,SVft,kleik,juksed,jarft,krim,phroope,phreupths,phragn,,,,0
cwaped,teapps,zourshed,psen,chague,phlalmed,griz,zVn_,peipt,0.0034,0.0123,0.00012402,5.18652E-09
gliz,snVp,steidZ,gourmb,gnoughn,leighndged,ghleighgues,kweelt,ghwixte,,,,0
kaild,sckrurthed,swurphth,sholmn,geipth,snunched,snQ_,sVNz,dZIst,0.0121,0.0123,0.0623,9.27211E-06
mast,rVmd,gIsk,frourche,stiece,snopced,wheetch,ghete,psecsts,,,,0
scwiev,slurlde,smjsck,whaughsts,wherdged,jaifed,swes,TVft,TrIk,0.0039,0.0123,0.0623,2.98853E-06
feNk,wVnT,TwIdZ,swighd,zeighn,zoarvs,snorfs,cempse,philc,,,,0
plipse,whalmbed,cheanns,ghlolt,scilte,chawms,friz,_Vlt,TIfT,0.0034,0.0123,0.0623,2.60539E-06
briz,SVlf,gwIl,skraughts,chalmbed,gnaizzed,phlaughv,sckriltch,jorled,,,,0
sckirld,creaged,threlmbs,scoint,sckwov,flaudds,Taft,glVn,prid,0.0121,0.0123,0.0034,5.06022E-07
vaft,glVb,skwi,glowled,clirch,whep,quirgned,tepes,ghrjmbs,,,,0
lasp,frear,meande,spannth,krarved,trowgned,fenT,krVt,friz,0.0039,0.0123,0.0034,1.63098E-07
selv,nVsk,friz,jibbs,zeands,clepe,scoughzed,girgnth,ghwulb,,,,0
bause,stowge,gwauve,snorg,skoage,pheak,swId,fVnz,friz,0.0623,0.0123,0.0034,2.60539E-06
TIpT,wVdz,friz,sckromms,creunte,tieste,skrjced,skwooled,pseiphths,,,,0
ghweags,ermths,sprurbs,squoanth,gwaiph,thwenkced,galv,dVps,muft,0.0121,0.0123,0.0221,3.28914E-06
zakt,wVsk,Twuk,shoj,dwawmbth,scwelved,zumpsed,neegued,cloads,,,,0
scoazzed,twaudged,klembth,scwoks,zif,sprevs,jelT,fVlv,fupt,0.0039,0.0123,0.0221,1.06014E-06
sendZ,_VNT,wunz,boarph,skroscs,ghwoughnths,sprarch,psurmbed,gnaughlte,,,,0
cleepes,zaughk,scwersed,ghweecks,wulcked,scweebbed,hIkt,bVfT,ru_d,0.0623,0.0123,0.0221,1.6935E-05
slIg,fVlv,rund,sposk,scrab,cief,sckwjnths,creeph,twoughfth,,,,0
urbs,rirved,clarpe,rhourmbth,zedged,puxt,gwak,nEld,wQmf,0.0121,0.0039,0.0121,5.70999E-07
rafT,tEmT,sQnz,ghonked,gjffth,flope,swoodd,skwoudes,scorst,,,,0
bluiffth,splirbs,cholcs,knaulde,vawphs,knulgns,greim,rElt,gQks,0.00012402,0.0039,0.0121,5.8525E-09
weifT,gEvz,TQlv,veabb,jeighlds,priered,joache,brarcks,frawnch,,,,0
thweque,ponze,shrodd,ghwirds,wrawfed,voanths,briz,gEpt,fQft,0.0034,0.0039,0.0121,1.60446E-07
friz,gwEl,lQNk,kroundge,drournts,sckreists,theip,zighgued,wookes,,,,0
ghruint,traughnts,thrjmmth,waimmed,trawthe,screuppth,Talv,vEmz,fl{f,0.0121,0.0039,0.0605,2.855E-06
snaf,lENz,d{l_,squiec,qujtched,thwighv,whighlte,krealte,krighnths,,,,0
phrawled,shraughps,kranched,skweighzed,sckweefes,krarnde,skeitS,twEs,pl{v,0.00012402,0.0039,0.0605,2.92625E-08
SeifT,TEmT,kl{f,durged,sneadds,jipsed,wrerbs,grarts,gheusts,,,,
